Time [s], Analyzer Name, Decoded Protocol Result,,,
0.073031708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073041208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073049208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073058708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073066708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073076208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073084208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073093708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073101708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073111208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073119208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073128708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073136708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073146208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073154208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073163708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073171708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073181208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073189208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073198708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073206708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073216208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073224208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073233708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073241708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073251208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073259208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073268708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073276708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073286208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073294208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073303708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073311708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073321208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073329208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073338708,SPI,MOSI, 0x00,  MISO, 0xFF
