Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.071944,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071952,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07196,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071968,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071976,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071984,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071992,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072008,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072016,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072024,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072032,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07204,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072048,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072056,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072064,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072072,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07208,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072088,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072096,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072104,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072112,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07212,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072128,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072136,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072144,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072152,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07216,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072168,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072176,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.072184,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.073316,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.073324,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07335925,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07336725,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07339925,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07340725,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.073439,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.073447,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07347875,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07348675,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07352375,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07353175,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.0735745,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.0735825,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.0736145,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.0736225,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.0736555,SPI,MOSI, 0x00,  MISO, 0x47,,,,,,,
0.0736635,SPI,MOSI, 0x00,  MISO, 0xA1,,,,,,,
0.0736715,SPI,MOSI, 0x00,  MISO, 0xCF,,,,,,,
0.0736795,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0736875,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0736955,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737035,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737115,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737195,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737275,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737355,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737435,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737515,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737595,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737675,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737755,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737835,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0737915,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
